AuthorizationNumber,PdfHyperlink,DocumentID,PdfFound,PdfSource,LastChecked
10002189,https://geospatial.alberta.ca/erv-water-act/?page=Water-Act&authorizationNumber=10002189,,False,ERV fallback (direct PDF not found in HTML),2026-03-19 17:50:33
10002213,https://geospatial.alberta.ca/erv-water-act/?page=Water-Act&authorizationNumber=10002213,,False,ERV fallback (direct PDF not found in HTML),2026-03-19 17:50:34
10002237,https://geospatial.alberta.ca/erv-water-act/?page=Water-Act&authorizationNumber=10002237,,False,ERV fallback (direct PDF not found in HTML),2026-03-19 17:50:34
10002269,https://geospatial.alberta.ca/erv-water-act/?page=Water-Act&authorizationNumber=10002269,,False,ERV fallback (direct PDF not found in HTML),2026-03-19 17:50:35
10002271,https://geospatial.alberta.ca/erv-water-act/?page=Water-Act&authorizationNumber=10002271,,False,ERV fallback (direct PDF not found in HTML),2026-03-19 17:50:35
10002274,https://geospatial.alberta.ca/erv-water-act/?page=Water-Act&authorizationNumber=10002274,,False,ERV fallback (direct PDF not found in HTML),2026-03-19 17:50:36
10002283,https://geospatial.alberta.ca/erv-water-act/?page=Water-Act&authorizationNumber=10002283,,False,ERV fallback (direct PDF not found in HTML),2026-03-19 17:50:36
10002303,https://geospatial.alberta.ca/erv-water-act/?page=Water-Act&authorizationNumber=10002303,,False,ERV fallback (direct PDF not found in HTML),2026-03-19 17:50:37
10002319,https://geospatial.alberta.ca/erv-water-act/?page=Water-Act&authorizationNumber=10002319,,False,ERV fallback (direct PDF not found in HTML),2026-03-19 17:50:38
10002323,https://geospatial.alberta.ca/erv-water-act/?page=Water-Act&authorizationNumber=10002323,,False,ERV fallback (direct PDF not found in HTML),2026-03-19 17:50:38
10002336,https://geospatial.alberta.ca/erv-water-act/?page=Water-Act&authorizationNumber=10002336,,False,ERV fallback (direct PDF not found in HTML),2026-03-19 17:50:39
10002356,https://geospatial.alberta.ca/erv-water-act/?page=Water-Act&authorizationNumber=10002356,,False,ERV fallback (direct PDF not found in HTML),2026-03-19 17:50:39
10002363,https://geospatial.alberta.ca/erv-water-act/?page=Water-Act&authorizationNumber=10002363,,False,ERV fallback (direct PDF not found in HTML),2026-03-19 17:50:40
10002430,https://geospatial.alberta.ca/erv-water-act/?page=Water-Act&authorizationNumber=10002430,,False,ERV fallback (direct PDF not found in HTML),2026-03-19 17:50:40
10002455,https://geospatial.alberta.ca/erv-water-act/?page=Water-Act&authorizationNumber=10002455,,False,ERV fallback (direct PDF not found in HTML),2026-03-19 17:50:41
10002458,https://geospatial.alberta.ca/erv-water-act/?page=Water-Act&authorizationNumber=10002458,,False,ERV fallback (direct PDF not found in HTML),2026-03-19 17:50:41
10002459,https://geospatial.alberta.ca/erv-water-act/?page=Water-Act&authorizationNumber=10002459,,False,ERV fallback (direct PDF not found in HTML),2026-03-19 17:50:42
10002483,https://geospatial.alberta.ca/erv-water-act/?page=Water-Act&authorizationNumber=10002483,,False,ERV fallback (direct PDF not found in HTML),2026-03-19 17:50:43
10002490,https://geospatial.alberta.ca/erv-water-act/?page=Water-Act&authorizationNumber=10002490,,False,ERV fallback (direct PDF not found in HTML),2026-03-19 17:50:43
10002501,https://geospatial.alberta.ca/erv-water-act/?page=Water-Act&authorizationNumber=10002501,,False,ERV fallback (direct PDF not found in HTML),2026-03-19 17:50:44
10002520,https://geospatial.alberta.ca/erv-water-act/?page=Water-Act&authorizationNumber=10002520,,False,ERV fallback (direct PDF not found in HTML),2026-03-19 17:50:44
10002559,https://geospatial.alberta.ca/erv-water-act/?page=Water-Act&authorizationNumber=10002559,,False,ERV fallback (direct PDF not found in HTML),2026-03-19 17:50:45
10002560,https://geospatial.alberta.ca/erv-water-act/?page=Water-Act&authorizationNumber=10002560,,False,ERV fallback (direct PDF not found in HTML),2026-03-19 17:50:45
10002562,https://geospatial.alberta.ca/erv-water-act/?page=Water-Act&authorizationNumber=10002562,,False,ERV fallback (direct PDF not found in HTML),2026-03-19 17:50:46
10002570,https://geospatial.alberta.ca/erv-water-act/?page=Water-Act&authorizationNumber=10002570,,False,ERV fallback (direct PDF not found in HTML),2026-03-19 17:50:46
10002601,https://geospatial.alberta.ca/erv-water-act/?page=Water-Act&authorizationNumber=10002601,,False,ERV fallback (direct PDF not found in HTML),2026-03-19 17:50:47
10002617,https://geospatial.alberta.ca/erv-water-act/?page=Water-Act&authorizationNumber=10002617,,False,ERV fallback (direct PDF not found in HTML),2026-03-19 17:50:48
10002625,https://geospatial.alberta.ca/erv-water-act/?page=Water-Act&authorizationNumber=10002625,,False,ERV fallback (direct PDF not found in HTML),2026-03-19 17:50:48
10002632,https://geospatial.alberta.ca/erv-water-act/?page=Water-Act&authorizationNumber=10002632,,False,ERV fallback (direct PDF not found in HTML),2026-03-19 17:50:49
10002644,https://geospatial.alberta.ca/erv-water-act/?page=Water-Act&authorizationNumber=10002644,,False,ERV fallback (direct PDF not found in HTML),2026-03-19 17:50:49
10002667,https://geospatial.alberta.ca/erv-water-act/?page=Water-Act&authorizationNumber=10002667,,False,ERV fallback (direct PDF not found in HTML),2026-03-19 17:50:50
10002676,https://geospatial.alberta.ca/erv-water-act/?page=Water-Act&authorizationNumber=10002676,,False,ERV fallback (direct PDF not found in HTML),2026-03-19 17:50:50
10002696,https://geospatial.alberta.ca/erv-water-act/?page=Water-Act&authorizationNumber=10002696,,False,ERV fallback (direct PDF not found in HTML),2026-03-19 17:50:51
10002735,https://geospatial.alberta.ca/erv-water-act/?page=Water-Act&authorizationNumber=10002735,,False,ERV fallback (direct PDF not found in HTML),2026-03-19 17:50:51
10002738,https://geospatial.alberta.ca/erv-water-act/?page=Water-Act&authorizationNumber=10002738,,False,ERV fallback (direct PDF not found in HTML),2026-03-19 17:50:52
10002777,https://geospatial.alberta.ca/erv-water-act/?page=Water-Act&authorizationNumber=10002777,,False,ERV fallback (direct PDF not found in HTML),2026-03-19 17:50:53
10002788,https://geospatial.alberta.ca/erv-water-act/?page=Water-Act&authorizationNumber=10002788,,False,ERV fallback (direct PDF not found in HTML),2026-03-19 17:50:53
10002796,https://geospatial.alberta.ca/erv-water-act/?page=Water-Act&authorizationNumber=10002796,,False,ERV fallback (direct PDF not found in HTML),2026-03-19 17:50:54
10002797,https://geospatial.alberta.ca/erv-water-act/?page=Water-Act&authorizationNumber=10002797,,False,ERV fallback (direct PDF not found in HTML),2026-03-19 17:50:54
10002804,https://geospatial.alberta.ca/erv-water-act/?page=Water-Act&authorizationNumber=10002804,,False,ERV fallback (direct PDF not found in HTML),2026-03-19 17:50:55
10002827,https://geospatial.alberta.ca/erv-water-act/?page=Water-Act&authorizationNumber=10002827,,False,ERV fallback (direct PDF not found in HTML),2026-03-19 17:50:55
10002835,https://geospatial.alberta.ca/erv-water-act/?page=Water-Act&authorizationNumber=10002835,,False,ERV fallback (direct PDF not found in HTML),2026-03-19 17:50:56
10002845,https://geospatial.alberta.ca/erv-water-act/?page=Water-Act&authorizationNumber=10002845,,False,ERV fallback (direct PDF not found in HTML),2026-03-19 17:50:57
10002862,https://geospatial.alberta.ca/erv-water-act/?page=Water-Act&authorizationNumber=10002862,,False,ERV fallback (direct PDF not found in HTML),2026-03-19 17:50:57
10002919,https://geospatial.alberta.ca/erv-water-act/?page=Water-Act&authorizationNumber=10002919,,False,ERV fallback (direct PDF not found in HTML),2026-03-19 17:50:58
10002927,https://geospatial.alberta.ca/erv-water-act/?page=Water-Act&authorizationNumber=10002927,,False,ERV fallback (direct PDF not found in HTML),2026-03-19 17:50:58
10002930,https://geospatial.alberta.ca/erv-water-act/?page=Water-Act&authorizationNumber=10002930,,False,ERV fallback (direct PDF not found in HTML),2026-03-19 17:50:59
10002983,https://geospatial.alberta.ca/erv-water-act/?page=Water-Act&authorizationNumber=10002983,,False,ERV fallback (direct PDF not found in HTML),2026-03-19 17:50:59
10002987,https://geospatial.alberta.ca/erv-water-act/?page=Water-Act&authorizationNumber=10002987,,False,ERV fallback (direct PDF not found in HTML),2026-03-19 17:51:00
10002989,https://geospatial.alberta.ca/erv-water-act/?page=Water-Act&authorizationNumber=10002989,,False,ERV fallback (direct PDF not found in HTML),2026-03-19 17:51:00
10002990,https://geospatial.alberta.ca/erv-water-act/?page=Water-Act&authorizationNumber=10002990,,False,ERV fallback (direct PDF not found in HTML),2026-03-19 17:51:01
10002992,https://geospatial.alberta.ca/erv-water-act/?page=Water-Act&authorizationNumber=10002992,,False,ERV fallback (direct PDF not found in HTML),2026-03-19 17:51:02
10002999,https://geospatial.alberta.ca/erv-water-act/?page=Water-Act&authorizationNumber=10002999,,False,ERV fallback (direct PDF not found in HTML),2026-03-19 17:51:02
10003002,https://geospatial.alberta.ca/erv-water-act/?page=Water-Act&authorizationNumber=10003002,,False,ERV fallback (direct PDF not found in HTML),2026-03-19 17:51:03
10003044,https://geospatial.alberta.ca/erv-water-act/?page=Water-Act&authorizationNumber=10003044,,False,ERV fallback (direct PDF not found in HTML),2026-03-19 17:51:03
10003206,https://geospatial.alberta.ca/erv-water-act/?page=Water-Act&authorizationNumber=10003206,,False,ERV fallback (direct PDF not found in HTML),2026-03-19 17:51:04
10003241,https://geospatial.alberta.ca/erv-water-act/?page=Water-Act&authorizationNumber=10003241,,False,ERV fallback (direct PDF not found in HTML),2026-03-19 17:51:04
10003271,https://geospatial.alberta.ca/erv-water-act/?page=Water-Act&authorizationNumber=10003271,,False,ERV fallback (direct PDF not found in HTML),2026-03-19 17:51:05
10003292,https://geospatial.alberta.ca/erv-water-act/?page=Water-Act&authorizationNumber=10003292,,False,ERV fallback (direct PDF not found in HTML),2026-03-19 17:51:05
10003300,https://geospatial.alberta.ca/erv-water-act/?page=Water-Act&authorizationNumber=10003300,,False,ERV fallback (direct PDF not found in HTML),2026-03-19 17:51:06
10003351,https://geospatial.alberta.ca/erv-water-act/?page=Water-Act&authorizationNumber=10003351,,False,ERV fallback (direct PDF not found in HTML),2026-03-19 17:51:07
10003353,https://geospatial.alberta.ca/erv-water-act/?page=Water-Act&authorizationNumber=10003353,,False,ERV fallback (direct PDF not found in HTML),2026-03-19 17:51:07
10003363,https://geospatial.alberta.ca/erv-water-act/?page=Water-Act&authorizationNumber=10003363,,False,ERV fallback (direct PDF not found in HTML),2026-03-19 17:51:08
10003442,https://geospatial.alberta.ca/erv-water-act/?page=Water-Act&authorizationNumber=10003442,,False,ERV fallback (direct PDF not found in HTML),2026-03-19 17:51:08
211084,https://geospatial.alberta.ca/erv-water-act/?page=Water-Act&authorizationNumber=211084,,False,ERV fallback (direct PDF not found in HTML),2026-03-19 17:51:09
212419,https://geospatial.alberta.ca/erv-water-act/?page=Water-Act&authorizationNumber=212419,,False,ERV fallback (direct PDF not found in HTML),2026-03-19 17:51:09
212736,https://geospatial.alberta.ca/erv-water-act/?page=Water-Act&authorizationNumber=212736,,False,ERV fallback (direct PDF not found in HTML),2026-03-19 17:51:10
224467,https://geospatial.alberta.ca/erv-water-act/?page=Water-Act&authorizationNumber=224467,,False,ERV fallback (direct PDF not found in HTML),2026-03-19 17:51:10
225694,https://geospatial.alberta.ca/erv-water-act/?page=Water-Act&authorizationNumber=225694,,False,ERV fallback (direct PDF not found in HTML),2026-03-19 17:51:11
227907,https://geospatial.alberta.ca/erv-water-act/?page=Water-Act&authorizationNumber=227907,,False,ERV fallback (direct PDF not found in HTML),2026-03-19 17:51:12
228706,https://geospatial.alberta.ca/erv-water-act/?page=Water-Act&authorizationNumber=228706,,False,ERV fallback (direct PDF not found in HTML),2026-03-19 17:51:12
228719,https://geospatial.alberta.ca/erv-water-act/?page=Water-Act&authorizationNumber=228719,,False,ERV fallback (direct PDF not found in HTML),2026-03-19 17:51:13
229264,https://geospatial.alberta.ca/erv-water-act/?page=Water-Act&authorizationNumber=229264,,False,ERV fallback (direct PDF not found in HTML),2026-03-19 17:51:13
232447,https://geospatial.alberta.ca/erv-water-act/?page=Water-Act&authorizationNumber=232447,,False,ERV fallback (direct PDF not found in HTML),2026-03-19 17:51:14
244478,https://geospatial.alberta.ca/erv-water-act/?page=Water-Act&authorizationNumber=244478,,False,ERV fallback (direct PDF not found in HTML),2026-03-19 17:51:14
24630,https://geospatial.alberta.ca/erv-water-act/?page=Water-Act&authorizationNumber=24630,,False,ERV fallback (direct PDF not found in HTML),2026-03-19 17:51:15
24758,https://geospatial.alberta.ca/erv-water-act/?page=Water-Act&authorizationNumber=24758,,False,ERV fallback (direct PDF not found in HTML),2026-03-19 17:51:15
249523,https://geospatial.alberta.ca/erv-water-act/?page=Water-Act&authorizationNumber=249523,,False,ERV fallback (direct PDF not found in HTML),2026-03-19 17:51:16
264741,https://geospatial.alberta.ca/erv-water-act/?page=Water-Act&authorizationNumber=264741,,False,ERV fallback (direct PDF not found in HTML),2026-03-19 17:51:17
265431,https://geospatial.alberta.ca/erv-water-act/?page=Water-Act&authorizationNumber=265431,,False,ERV fallback (direct PDF not found in HTML),2026-03-19 17:51:17
274683,https://geospatial.alberta.ca/erv-water-act/?page=Water-Act&authorizationNumber=274683,,False,ERV fallback (direct PDF not found in HTML),2026-03-19 17:51:18
30505,https://geospatial.alberta.ca/erv-water-act/?page=Water-Act&authorizationNumber=30505,,False,ERV fallback (direct PDF not found in HTML),2026-03-19 17:51:18
30506,https://geospatial.alberta.ca/erv-water-act/?page=Water-Act&authorizationNumber=30506,,False,ERV fallback (direct PDF not found in HTML),2026-03-19 17:51:19
30507,https://geospatial.alberta.ca/erv-water-act/?page=Water-Act&authorizationNumber=30507,,False,ERV fallback (direct PDF not found in HTML),2026-03-19 17:51:19
321089,https://geospatial.alberta.ca/erv-water-act/?page=Water-Act&authorizationNumber=321089,,False,ERV fallback (direct PDF not found in HTML),2026-03-19 17:51:20
33046,https://geospatial.alberta.ca/erv-water-act/?page=Water-Act&authorizationNumber=33046,,False,ERV fallback (direct PDF not found in HTML),2026-03-19 17:51:20
33143,https://geospatial.alberta.ca/erv-water-act/?page=Water-Act&authorizationNumber=33143,,False,ERV fallback (direct PDF not found in HTML),2026-03-19 17:51:21
34625,https://geospatial.alberta.ca/erv-water-act/?page=Water-Act&authorizationNumber=34625,,False,ERV fallback (direct PDF not found in HTML),2026-03-19 17:51:22
36509,https://geospatial.alberta.ca/erv-water-act/?page=Water-Act&authorizationNumber=36509,,False,ERV fallback (direct PDF not found in HTML),2026-03-19 17:51:22
36511,https://geospatial.alberta.ca/erv-water-act/?page=Water-Act&authorizationNumber=36511,,False,ERV fallback (direct PDF not found in HTML),2026-03-19 17:51:23
36512,https://geospatial.alberta.ca/erv-water-act/?page=Water-Act&authorizationNumber=36512,,False,ERV fallback (direct PDF not found in HTML),2026-03-19 17:51:23
368052,https://geospatial.alberta.ca/erv-water-act/?page=Water-Act&authorizationNumber=368052,,False,ERV fallback (direct PDF not found in HTML),2026-03-19 17:51:24
375986,https://geospatial.alberta.ca/erv-water-act/?page=Water-Act&authorizationNumber=375986,,False,ERV fallback (direct PDF not found in HTML),2026-03-19 17:51:24
377480,https://geospatial.alberta.ca/erv-water-act/?page=Water-Act&authorizationNumber=377480,,False,ERV fallback (direct PDF not found in HTML),2026-03-19 17:51:25
37871,https://geospatial.alberta.ca/erv-water-act/?page=Water-Act&authorizationNumber=37871,,False,ERV fallback (direct PDF not found in HTML),2026-03-19 17:51:25
385218,https://geospatial.alberta.ca/erv-water-act/?page=Water-Act&authorizationNumber=385218,,False,ERV fallback (direct PDF not found in HTML),2026-03-19 17:51:26
397226,https://geospatial.alberta.ca/erv-water-act/?page=Water-Act&authorizationNumber=397226,,False,ERV fallback (direct PDF not found in HTML),2026-03-19 17:51:27
40123,https://geospatial.alberta.ca/erv-water-act/?page=Water-Act&authorizationNumber=40123,,False,ERV fallback (direct PDF not found in HTML),2026-03-19 17:51:27
404315,https://geospatial.alberta.ca/erv-water-act/?page=Water-Act&authorizationNumber=404315,,False,ERV fallback (direct PDF not found in HTML),2026-03-19 17:51:28
404319,https://geospatial.alberta.ca/erv-water-act/?page=Water-Act&authorizationNumber=404319,,False,ERV fallback (direct PDF not found in HTML),2026-03-19 17:51:28
423144,https://geospatial.alberta.ca/erv-water-act/?page=Water-Act&authorizationNumber=423144,,False,ERV fallback (direct PDF not found in HTML),2026-03-19 17:51:29
428548,https://geospatial.alberta.ca/erv-water-act/?page=Water-Act&authorizationNumber=428548,,False,ERV fallback (direct PDF not found in HTML),2026-03-19 17:51:29
428679,https://geospatial.alberta.ca/erv-water-act/?page=Water-Act&authorizationNumber=428679,,False,ERV fallback (direct PDF not found in HTML),2026-03-19 17:51:30
433041,https://geospatial.alberta.ca/erv-water-act/?page=Water-Act&authorizationNumber=433041,,False,ERV fallback (direct PDF not found in HTML),2026-03-19 17:51:30
448882,https://geospatial.alberta.ca/erv-water-act/?page=Water-Act&authorizationNumber=448882,,False,ERV fallback (direct PDF not found in HTML),2026-03-19 17:51:31
458425,https://geospatial.alberta.ca/erv-water-act/?page=Water-Act&authorizationNumber=458425,,False,ERV fallback (direct PDF not found in HTML),2026-03-19 17:51:32
460602,https://geospatial.alberta.ca/erv-water-act/?page=Water-Act&authorizationNumber=460602,,False,ERV fallback (direct PDF not found in HTML),2026-03-19 17:51:32
465828,https://geospatial.alberta.ca/erv-water-act/?page=Water-Act&authorizationNumber=465828,,False,ERV fallback (direct PDF not found in HTML),2026-03-19 17:51:33
469165,https://geospatial.alberta.ca/erv-water-act/?page=Water-Act&authorizationNumber=469165,,False,ERV fallback (direct PDF not found in HTML),2026-03-19 17:51:33
470752,https://geospatial.alberta.ca/erv-water-act/?page=Water-Act&authorizationNumber=470752,,False,ERV fallback (direct PDF not found in HTML),2026-03-19 17:51:34
471447,https://geospatial.alberta.ca/erv-water-act/?page=Water-Act&authorizationNumber=471447,,False,ERV fallback (direct PDF not found in HTML),2026-03-19 17:51:34
471450,https://geospatial.alberta.ca/erv-water-act/?page=Water-Act&authorizationNumber=471450,,False,ERV fallback (direct PDF not found in HTML),2026-03-19 17:51:35
472784,https://geospatial.alberta.ca/erv-water-act/?page=Water-Act&authorizationNumber=472784,,False,ERV fallback (direct PDF not found in HTML),2026-03-19 17:51:35
47673,https://geospatial.alberta.ca/erv-water-act/?page=Water-Act&authorizationNumber=47673,,False,ERV fallback (direct PDF not found in HTML),2026-03-19 17:51:36
482915,https://geospatial.alberta.ca/erv-water-act/?page=Water-Act&authorizationNumber=482915,,False,ERV fallback (direct PDF not found in HTML),2026-03-19 17:51:37
494099,https://geospatial.alberta.ca/erv-water-act/?page=Water-Act&authorizationNumber=494099,,False,ERV fallback (direct PDF not found in HTML),2026-03-19 17:51:37
498767,https://geospatial.alberta.ca/erv-water-act/?page=Water-Act&authorizationNumber=498767,,False,ERV fallback (direct PDF not found in HTML),2026-03-19 17:51:38
499334,https://geospatial.alberta.ca/erv-water-act/?page=Water-Act&authorizationNumber=499334,,False,ERV fallback (direct PDF not found in HTML),2026-03-19 17:51:38
502500,https://geospatial.alberta.ca/erv-water-act/?page=Water-Act&authorizationNumber=502500,,False,ERV fallback (direct PDF not found in HTML),2026-03-19 17:51:39
503306,https://geospatial.alberta.ca/erv-water-act/?page=Water-Act&authorizationNumber=503306,,False,ERV fallback (direct PDF not found in HTML),2026-03-19 17:51:39
503378,https://geospatial.alberta.ca/erv-water-act/?page=Water-Act&authorizationNumber=503378,,False,ERV fallback (direct PDF not found in HTML),2026-03-19 17:51:40
503382,https://geospatial.alberta.ca/erv-water-act/?page=Water-Act&authorizationNumber=503382,,False,ERV fallback (direct PDF not found in HTML),2026-03-19 17:51:40
503703,https://geospatial.alberta.ca/erv-water-act/?page=Water-Act&authorizationNumber=503703,,False,ERV fallback (direct PDF not found in HTML),2026-03-19 17:51:41
503749,https://geospatial.alberta.ca/erv-water-act/?page=Water-Act&authorizationNumber=503749,,False,ERV fallback (direct PDF not found in HTML),2026-03-19 17:51:42
503770,https://geospatial.alberta.ca/erv-water-act/?page=Water-Act&authorizationNumber=503770,,False,ERV fallback (direct PDF not found in HTML),2026-03-19 17:51:42
503881,https://geospatial.alberta.ca/erv-water-act/?page=Water-Act&authorizationNumber=503881,,False,ERV fallback (direct PDF not found in HTML),2026-03-19 17:51:43
505041,https://geospatial.alberta.ca/erv-water-act/?page=Water-Act&authorizationNumber=505041,,False,ERV fallback (direct PDF not found in HTML),2026-03-19 17:51:43
505257,https://geospatial.alberta.ca/erv-water-act/?page=Water-Act&authorizationNumber=505257,,False,ERV fallback (direct PDF not found in HTML),2026-03-19 17:51:44
506370,https://geospatial.alberta.ca/erv-water-act/?page=Water-Act&authorizationNumber=506370,,False,ERV fallback (direct PDF not found in HTML),2026-03-19 17:51:44
506411,https://geospatial.alberta.ca/erv-water-act/?page=Water-Act&authorizationNumber=506411,,False,ERV fallback (direct PDF not found in HTML),2026-03-19 17:51:45
506672,https://geospatial.alberta.ca/erv-water-act/?page=Water-Act&authorizationNumber=506672,,False,ERV fallback (direct PDF not found in HTML),2026-03-19 17:51:45
506673,https://geospatial.alberta.ca/erv-water-act/?page=Water-Act&authorizationNumber=506673,,False,ERV fallback (direct PDF not found in HTML),2026-03-19 17:51:46
506846,https://geospatial.alberta.ca/erv-water-act/?page=Water-Act&authorizationNumber=506846,,False,ERV fallback (direct PDF not found in HTML),2026-03-19 17:51:47
506886,https://geospatial.alberta.ca/erv-water-act/?page=Water-Act&authorizationNumber=506886,,False,ERV fallback (direct PDF not found in HTML),2026-03-19 17:51:47
506910,https://geospatial.alberta.ca/erv-water-act/?page=Water-Act&authorizationNumber=506910,,False,ERV fallback (direct PDF not found in HTML),2026-03-19 17:51:48
507144,https://geospatial.alberta.ca/erv-water-act/?page=Water-Act&authorizationNumber=507144,,False,ERV fallback (direct PDF not found in HTML),2026-03-19 17:51:48
507148,https://geospatial.alberta.ca/erv-water-act/?page=Water-Act&authorizationNumber=507148,,False,ERV fallback (direct PDF not found in HTML),2026-03-19 17:51:49
507153,https://geospatial.alberta.ca/erv-water-act/?page=Water-Act&authorizationNumber=507153,,False,ERV fallback (direct PDF not found in HTML),2026-03-19 17:51:49
507311,https://geospatial.alberta.ca/erv-water-act/?page=Water-Act&authorizationNumber=507311,,False,ERV fallback (direct PDF not found in HTML),2026-03-19 17:51:50
507430,https://geospatial.alberta.ca/erv-water-act/?page=Water-Act&authorizationNumber=507430,,False,ERV fallback (direct PDF not found in HTML),2026-03-19 17:51:50
507505,https://geospatial.alberta.ca/erv-water-act/?page=Water-Act&authorizationNumber=507505,,False,ERV fallback (direct PDF not found in HTML),2026-03-19 17:51:51
507519,https://geospatial.alberta.ca/erv-water-act/?page=Water-Act&authorizationNumber=507519,,False,ERV fallback (direct PDF not found in HTML),2026-03-19 17:51:52
507595,https://geospatial.alberta.ca/erv-water-act/?page=Water-Act&authorizationNumber=507595,,False,ERV fallback (direct PDF not found in HTML),2026-03-19 17:51:52
507751,https://geospatial.alberta.ca/erv-water-act/?page=Water-Act&authorizationNumber=507751,,False,ERV fallback (direct PDF not found in HTML),2026-03-19 17:51:53
507754,https://geospatial.alberta.ca/erv-water-act/?page=Water-Act&authorizationNumber=507754,,False,ERV fallback (direct PDF not found in HTML),2026-03-19 17:51:53
507777,https://geospatial.alberta.ca/erv-water-act/?page=Water-Act&authorizationNumber=507777,,False,ERV fallback (direct PDF not found in HTML),2026-03-19 17:51:54
507893,https://geospatial.alberta.ca/erv-water-act/?page=Water-Act&authorizationNumber=507893,,False,ERV fallback (direct PDF not found in HTML),2026-03-19 17:51:54
507977,https://geospatial.alberta.ca/erv-water-act/?page=Water-Act&authorizationNumber=507977,,False,ERV fallback (direct PDF not found in HTML),2026-03-19 17:51:55
508036,https://geospatial.alberta.ca/erv-water-act/?page=Water-Act&authorizationNumber=508036,,False,ERV fallback (direct PDF not found in HTML),2026-03-19 17:51:55
508111,https://geospatial.alberta.ca/erv-water-act/?page=Water-Act&authorizationNumber=508111,,False,ERV fallback (direct PDF not found in HTML),2026-03-19 17:51:56
508140,https://geospatial.alberta.ca/erv-water-act/?page=Water-Act&authorizationNumber=508140,,False,ERV fallback (direct PDF not found in HTML),2026-03-19 17:51:57
508222,https://geospatial.alberta.ca/erv-water-act/?page=Water-Act&authorizationNumber=508222,,False,ERV fallback (direct PDF not found in HTML),2026-03-19 17:51:57
508290,https://geospatial.alberta.ca/erv-water-act/?page=Water-Act&authorizationNumber=508290,,False,ERV fallback (direct PDF not found in HTML),2026-03-19 17:51:58
508296,https://geospatial.alberta.ca/erv-water-act/?page=Water-Act&authorizationNumber=508296,,False,ERV fallback (direct PDF not found in HTML),2026-03-19 17:51:58
508416,https://geospatial.alberta.ca/erv-water-act/?page=Water-Act&authorizationNumber=508416,,False,ERV fallback (direct PDF not found in HTML),2026-03-19 17:51:59
508620,https://geospatial.alberta.ca/erv-water-act/?page=Water-Act&authorizationNumber=508620,,False,ERV fallback (direct PDF not found in HTML),2026-03-19 17:51:59
508640,https://geospatial.alberta.ca/erv-water-act/?page=Water-Act&authorizationNumber=508640,,False,ERV fallback (direct PDF not found in HTML),2026-03-19 17:52:00
508775,https://geospatial.alberta.ca/erv-water-act/?page=Water-Act&authorizationNumber=508775,,False,ERV fallback (direct PDF not found in HTML),2026-03-19 17:52:00
508776,https://geospatial.alberta.ca/erv-water-act/?page=Water-Act&authorizationNumber=508776,,False,ERV fallback (direct PDF not found in HTML),2026-03-19 17:52:01
508822,https://geospatial.alberta.ca/erv-water-act/?page=Water-Act&authorizationNumber=508822,,False,ERV fallback (direct PDF not found in HTML),2026-03-19 17:52:02
508823,https://geospatial.alberta.ca/erv-water-act/?page=Water-Act&authorizationNumber=508823,,False,ERV fallback (direct PDF not found in HTML),2026-03-19 17:52:02
509018,https://geospatial.alberta.ca/erv-water-act/?page=Water-Act&authorizationNumber=509018,,False,ERV fallback (direct PDF not found in HTML),2026-03-19 17:52:03
509021,https://geospatial.alberta.ca/erv-water-act/?page=Water-Act&authorizationNumber=509021,,False,ERV fallback (direct PDF not found in HTML),2026-03-19 17:52:03
509022,https://geospatial.alberta.ca/erv-water-act/?page=Water-Act&authorizationNumber=509022,,False,ERV fallback (direct PDF not found in HTML),2026-03-19 17:52:04
509109,https://geospatial.alberta.ca/erv-water-act/?page=Water-Act&authorizationNumber=509109,,False,ERV fallback (direct PDF not found in HTML),2026-03-19 17:52:04
509150,https://geospatial.alberta.ca/erv-water-act/?page=Water-Act&authorizationNumber=509150,,False,ERV fallback (direct PDF not found in HTML),2026-03-19 17:52:05
74769,https://geospatial.alberta.ca/erv-water-act/?page=Water-Act&authorizationNumber=74769,,False,ERV fallback (direct PDF not found in HTML),2026-03-19 17:52:06
